#{"t_start": 1762632990.989535, "env_id": "None"}
r,l,t
-200.0,1,148.981338
-92.4,27,149.344354
-200.0,1,149.377677
-200.0,1,149.409435
-200.0,1,149.4393
-187.75,8,149.553531
-200.0,1,149.583042
-200.0,1,149.612708
-200.0,1,149.642466
2038.15,412,155.025067
-200.0,1,155.054961
-200.0,1,155.083613
-200.0,1,155.111795
243.5,97,156.389148
-200.0,1,156.420624
-200.0,1,156.44976
-200.0,1,156.479353
129.0,79,157.513199
-200.0,1,157.544005
-200.0,1,157.575166
-200.0,1,157.609621
1279.0,213,160.812026
-200.0,1,160.844254
-200.0,1,160.875267
-200.0,1,160.905629
693.5,159,162.99971
-200.0,1,163.032706
-200.0,1,163.062101
-200.0,1,163.092979
628.3,155,165.107783
-200.0,1,165.140085
-200.0,1,165.174263
-200.0,1,165.206779
1954.25,360,169.902681
-200.0,1,169.931202
-200.0,1,169.959591
-200.0,1,169.988386
-200.0,1,170.016187
156.35,82,171.090056
-200.0,1,171.120624
-200.0,1,171.150888
-200.0,1,171.180212
521.2,133,172.926243
-200.0,1,172.959835
-200.0,1,172.992068
-200.0,1,173.023609
-200.0,1,173.051967
45.75,124,174.673487
-200.0,1,174.704384
-200.0,1,174.734675
-200.0,1,174.763991
-165.3,9,174.888987
-200.0,1,174.91622
-200.0,1,174.945564
-200.0,1,174.973463
-200.0,1,175.001201
-200.0,1,175.029066
-200.0,1,175.058102
-200.0,1,175.08666
-200.0,1,175.114702
1138.55,212,177.865947
-200.0,1,177.896873
-200.0,1,177.926348
-200.0,1,177.958083
483.05,148,179.892797
-200.0,1,179.921932
-200.0,1,179.950039
-200.0,1,179.978529
923.25,194,182.514655
-200.0,1,182.547462
-200.0,1,182.578451
-200.0,1,182.608095
214.6,133,184.348036
-200.0,1,184.378702
-200.0,1,184.410101
-200.0,1,184.439411
526.85,114,185.928717
-200.0,1,185.95992
-200.0,1,185.991586
-200.0,1,186.021591
1369.25,266,189.936701
-200.0,1,189.966196
-200.0,1,189.995717
-200.0,1,190.024525
-201.1,7,190.126511
-200.0,1,190.157459
-200.0,1,190.189022
-200.0,1,190.217647
926.75,178,192.558614
-200.0,1,192.590212
-200.0,1,192.618892
-200.0,1,192.646731
634.75,202,195.274499
-200.0,1,195.306677
-200.0,1,195.34013
-200.0,1,195.371995
1181.0,219,198.241247
-200.0,1,198.274037
-200.0,1,198.304755
-200.0,1,198.334516
-29.15,30,198.73905
-200.0,1,198.770706
-200.0,1,198.801279
-200.0,1,198.830917
405.2,145,200.719686
-200.0,1,200.754736
-200.0,1,200.786376
-200.0,1,200.814161
-200.0,1,200.842406
-200.0,1,200.869251
-200.0,1,200.89653
-200.0,1,200.924483
-200.0,1,200.953725
-200.0,1,200.98146
-200.0,1,201.010363
660.05,166,203.189914
-200.0,1,203.219009
-200.0,1,203.247903
-200.0,1,203.276105
507.95,160,205.357798
-200.0,1,205.389553
-200.0,1,205.419689
-200.0,1,205.449296
2042.7,331,209.769942
-200.0,1,209.800444
-200.0,1,209.831499
-200.0,1,209.860643
3481.95,882,221.79214
-200.0,1,221.824737
-200.0,1,221.856483
-200.0,1,221.88657
221.9,83,222.990445
-200.0,1,223.023835
-200.0,1,223.05541
-200.0,1,223.086506
95.3,129,224.776648
-200.0,1,224.808753
-200.0,1,224.842718
-200.0,1,224.873336
-200.0,1,224.901967
2724.3,431,230.454356
-200.0,1,230.486013
-200.0,1,230.51624
